STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980731,100,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980801,85,63
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980802,86,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980803,89,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980804,92,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980805,94,60
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980806,93,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980807,92,62
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980808,92,73
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980809,91,72
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980810,90,75
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980811,94,70
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980812,93,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980813,91,63
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980814,92,64
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980815,88,72
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980816,92,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980817,86,73
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980818,91,70
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980819,94,60
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980820,79,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980821,85,60
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980824,98,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980825,99,72
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980826,100,74
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980827,98,74
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980828,89,74
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980829,96,72
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980830,96,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980831,97,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980901,95,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980902,88,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980903,93,62
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980904,88,65
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980907,97,67
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980908,98,64
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980909,76,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980910,75,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980911,79,53
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980912,86,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980913,96,70
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980914,94,66
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980915,96,67
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980916,97,71
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980917,97,73
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980918,89,70
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980919,83,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980920,83,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980921,89,69
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980922,94,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980923,87,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980924,71,45
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980925,77,45
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980929,86,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19980930,81,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981001,87,68
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981002,84,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981003,71,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981004,69,47
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981005,57,53
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981006,67,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981007,72,56
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981008,73,59
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981009,73,58
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981010,65,57
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981011,68,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981012,75,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981013,75,52
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981014,70,50
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981015,66,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981016,67,39
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981017,69,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981018,74,42
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981019,80,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981020,74,46
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981021,71,48
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981022,64,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981023,56,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981024,63,38
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981025,74,37
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981026,75,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981027,75,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981028,65,51
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981029,71,54
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981030,66,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981031,67,36
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981101,67,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981102,67,39
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981103,60,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981104,46,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981105,55,25
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981106,50,25
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981107,52,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981108,56,36
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981109,51,35
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981110,60,36
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981111,72,43
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981112,70,42
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981113,60,38
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981114,59,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981115,66,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981116,68,31
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981117,63,32
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981118,68,40
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981119,58,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981120,61,30
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,19981121,69,36
